internship_title,company_name,location,start_date,duration,stipend
Business Development (Sales),Pioneer E Solutions,Gurgaon,Immediately,4 Months,"15,000"
Social Media Manager,Subhansh Sewa Trust,Work From Home,Immediately,4 Months,
Journalism,Press Trust Of India,Delhi,Immediately,4 Months,"20,000"
Business Operations,Pristyn Care,Gurgaon,Immediately,4 Months,"8,000"
Online Reputation Management,Motilal Oswal Financial Services Limited,Mumbai,Immediately,4 Months,"5,000"
Strategy and Research,Vedantu,Bangalore,Immediately,4 Months,"25,000"
Human Resources (HR),Subhansh Sewa Trust,Work From Home,Immediately,4 Months,
HR,AU Small Finance Bank,Mumbai,Immediately,4 Months,"2,000"
Business Development,CollegeDunia Web Private Limited,Gurgaon,Immediately,4 Months,"10,000"
Web Maintenance,Tata Motors,Mumbai,Immediately,4 Months,"8,000"
User Research,Leverage Edu,Noida,Immediately,4 Months,"10,000"
Nutraceuticals-Project,Akums Drugs & Pharmaceuticals Limited,Delhi,Immediately,4 Months,"12,000"
Finance & Accounting,Ieng Groups,Bangalore,Immediately,4 Months,"5,000"
Sales Administration,Fresenius Kabi,Pune,Immediately,4 Months,"20,000"
Marketing And Communications,Zee Entertainment Enterprises Limited,Mumbai,Immediately,4 Months,"7,000"
Business Development (Sales),Urban Company,Patna,Immediately,4 Months,"20,000"
Human Resources (HR),SILA Group,Bangalore,Immediately,4 Months,"8,000"
Program Operations,Bharti Foundation,Gurgaon,Immediately,4 Months,"17,500"
Volunteering,International Human Rights Protection Commission,Andhra Pradesh,Immediately,4 Months,
Social Entrepreneurship,Subhansh Sewa Trust,Work From Home,Immediately,4 Months,
HR,Gupshup Technology,Mumbai,Immediately,4 Months,"10,000"
Graphic Design,Bajaj Finance Limited,Pune,Immediately,4 Months,"15,000"
Graphic And Content,Hero Vired,Delhi,Immediately,4 Months,"20,000"
DEI Consulting,Godrej Agrovet Limited,Mumbai,Immediately,4 Months,"15,000"
Fundraising,WWF India,Delhi,Immediately,4 Months,"18,000"
Angular UI Development & UI Design,IIT Bombay,Work From Home,Immediately,4 Months,"1,000"
Teaching GPAT And Pharmacy Exams,Unacademy,Work From Home,Immediately,4 Months,"20,000"
Business Operations And Research,Benesse India,Delhi,Immediately,4 Months,"25,000"
Business Operations And Research,Benesse India,Delhi,Immediately,4 Months,"25,000"
Business Development & Brand Solution,Hungama Digital Media Entertainment Private Limited,Mumbai,Immediately,4 Months,"5,000"
Supply Chain & Logistics Operations,Inland World Logistics Private Limited,Coimbatore,Immediately,4 Months,"10,000"
Content Writing,HT Media,Mumbai,Immediately,4 Months,"5,000"
Motion Design,NoBroker,Bangalore,Immediately,4 Months,"12,000"
Sales Trainee,Pioneer E-Solutions,Gurgaon,Immediately,4 Months,"10,000"
Retail Management,Decathlon Sports India,Patna,Immediately,4 Months,"7,000"
Operation Analyst,Apollo247,Gurgaon,Immediately,4 Months,"15,000"
Omni Sports Leadership,Decathlon Sport India Private Limited,Ludhiana,Immediately,4 Months,"10,000"
