internship_title,company_name,location,start_date,duration,stipend
Delegate Engagement Specialist,Peppermint Communications Private Limited,Bhiwandi,Immediately,6 Months,"12,000"
Revenue Distribution,Bnbme Holiday Homes (International Holiday Homes),Dehradun,Immediately,6 Months,"10,000"
Marketing,Sparshanand,Indore,Immediately,6 Months,"8,000"
Digital Marketing,KEY 4 YOU,Gurgaon,Immediately,6 Months,"10,000"
Telecalling,Subtle Startups,Navi Mumbai,Immediately,6 Months,"2,000"
Marketing,Digiaccel Learning,Gurgaon,Immediately,6 Months,"20,000"
Social Media Marketing,Shemrock & Shemford Group Of Schools,Gurgaon,Immediately,6 Months,"5,000"
Social Media Marketing,Enteraction Web Solutions LLP,Faridabad,Immediately,6 Months,"15,000"
Administration,Nikunj Gupta & Associates,Faridabad,Immediately,6 Months,"4,000"
Social Media Marketing,Edamame,Gurgaon,Immediately,6 Months,"15,000"
Formulation And Marketing Of Health Supplement,JS Water Energy Life Company,Gurgaon,Immediately,6 Months,"15,000"
Business Development (Sales),Expand My Business,Gurgaon,Immediately,6 Months,"15,000"
Business Development,Time:Code,Gurgaon,Immediately,6 Months,"12,000"
Search Engine Optimization (SEO),Fabulous Media Private Limited,Gurgaon,Immediately,6 Months,"15,000"
Business Development (Sales),SRVA Education Private Limited,Gurgaon,Immediately,6 Months,"10,000"
Sales & Alliances,Hello Jarvis,Gurgaon,Immediately,6 Months,"10,000"
Business Development,TheCoinRepublic,Indore,Immediately,6 Months,"15,000"
Content Writing,Expand My Business,Gurgaon,Immediately,6 Months,"15,000"
Content Writing,Expand My Business,Gurgaon,Immediately,6 Months,"15,000"
Social Media Marketing,OTFCoder,Ahmedabad,Immediately,6 Months,"8,000"
Marketing,Money Making Trading Courses,Dombivli,Immediately,6 Months,"7,000"
Social Media Marketing,Fabulous Media Private Limited,Gurgaon,Immediately,6 Months,"15,000"
Customer Service,Astro Arun Pandit,Noida,Immediately,6 Months,"15,000"
Search Engine Optimization (SEO),Nextfly Technologies Private Limited,Gurgaon,Immediately,6 Months,"7,000"
Sales,Power Stones,Delhi,Immediately,6 Months,"7,000"
Product Marketing,STEMpedia,Ahmedabad,Immediately,6 Months,"7,000"
Content Writing,STEMpedia,Ahmedabad,Immediately,6 Months,"14,000"
Marketing,Bosscoder Academy,Noida,Immediately,6 Months,"20,000"
Digital Marketing,Fabulous Media Private Limited,Gurgaon,Immediately,6 Months,"5,000"
Marketing,Amusant Events,Pondicherry,Immediately,6 Months,"3,500"
Sales And Marketing,Bugsmirror Research Private Limited,Indore,Immediately,6 Months,"15,000"
Telecalling,CODING JUNIORS TECH PRIVATE LIMITED,Ahmedabad,Immediately,6 Months,"2,000"
Search Engine Optimization (SEO),Internshala,Gurgaon,Immediately,6 Months,"18,000"
Digital Marketing,Money Making Trading Courses,Dombivli,Immediately,3 Months,"8,000"
Content Creation & Strategy,ThinkWhy,Ahmedabad,Immediately,3 Months,"15,000"
Market Automation (Digital Marketing),Stirring Minds,Delhi,Immediately,3 Months,"7,000"
Operations,Stirring Minds,Delhi,Immediately,3 Months,"12,000"
Student Success,Internshala Trainings,Gurgaon,Immediately,3 Months,"18,000"
International Business Development,Gigde Global Solutions Private Limited,Delhi,Immediately,3 Months,"20,000"
Videography,Stirring Minds,Delhi,Immediately,3 Months,"10,000"
Content Writing,AppVersal,Delhi,Immediately,3 Months,"9,000"
Subject Matter Expert (General Knowledge For Government Exams),Careers360,Work From Home,Immediately,3 Months,"15,000"
Business Development (Sales),AppVersal,Delhi,Immediately,3 Months,"12,000"
Digital Media,Stirring Minds,Delhi,Immediately,3 Months,"15,000"
Business Development (Sales),ODN Digital Services Private Limited,Delhi,Immediately,3 Months,"10,000"
Inside Sales,Stirring Minds,Delhi,Immediately,3 Months,"13,000"
Logistics And Operations,B-Gifts,Faridabad,Immediately,3 Months,"5,001"
Photography,Power Stones,Delhi,Immediately,3 Months,"10,000"
Digital Marketing,Gloval International,Mumbai,Immediately,3 Months,"8,000"
Social Media Marketing,Varun Singla,Chandigarh,Immediately,3 Months,
YouTube Shorts Making,Stirring Minds,Delhi,Immediately,3 Months,"6,000"
Study Abroad Operations,Ace My Prep,Delhi,Immediately,3 Months,"15,000"
Telecalling,Enteraction Web Solutions LLP,Faridabad,Immediately,3 Months,"15,000"
Sales Support,Stirring Minds,Delhi,Immediately,3 Months,"10,000"
Content Creation,Stirring Minds,Delhi,Immediately,3 Months,"6,000"
Social Media Marketing,WiJungle - by HttpCart,Gurgaon,Immediately,3 Months,"25,000"
Videography,Sarvam Foundation,Gurgaon,Immediately,3 Months,"2,000"
Social Media Marketing,STEMpedia,Ahmedabad,Immediately,3 Months,
Digital Marketing,Alchemy Vastu Consulting,Ghaziabad,Immediately,3 Months,"10,000"
Videography & Film-making (Video-Editing),Sarvam Foundation,Gurgaon,Immediately,3 Months,"10,000"
Social Media Marketing,Tasuvure,Delhi,Immediately,3 Months,"15,000"
Social Media Operations,Imperial Society Of Innovative Engineers (ISIE),Noida,Immediately,3 Months,"10,000"
Social Media Operations,Imperial Society Of Innovative Engineers (ISIE),Noida,Immediately,3 Months,"10,000"
Public Relations,Traya Health,Mumbai,Immediately,3 Months,"15,000"
Video Editing & Voiceover,Warewe Consultancy Private Limited,Gurgaon,Immediately,3 Months,"10,000"
Marketing And Operations (E-commerce),Joints Health Private Limited,Delhi,Immediately,3 Months,"6,000"
Content Writing,MARS Cosmetics,Delhi,Immediately,3 Months,"18,000"
Video Making/Editing,STEMpedia,Ahmedabad,Immediately,3 Months,"14,000"
Ad Strategy,MARS Cosmetics,Delhi,Immediately,3 Months,"18,000"
Business Development,Vistaar Digital Communications Private Limited,Mumbai,Immediately,3 Months,"8,000"
Academic Content Expert - Chemistry (English),QA Solvers,Varanasi,Immediately,3 Months,"22,000"
Human Resources (Operations),First Door Health,Ghaziabad,Immediately,3 Months,"5,000"
Market Research,Agile Parking Solutions Private Limited,Cuttack,Immediately,3 Months,"18,000"
Project Assistance (Management),Bilateral Solutions Private Limited,Mandi,Immediately,3 Months,"18,000"
Sales,The Spoken Mantle,Mumbai,Immediately,3 Months,"8,000"
Sales,Tasuvure,Mumbai,Immediately,3 Months,"15,000"
Human Resources (HR),9Heaven,Delhi,Immediately,3 Months,"3,000"
Video Making/Editing And Graphic Designing,Worktual Desk,Noida,Immediately,3 Months,"12,000"
Social Media Marketing,Tasuvure,Delhi,Immediately,3 Months,"10,000"
Supply Chain Management (SCM),Negbuy,Noida,Immediately,3 Months,"5,000"
Trainee - Brand Solutions (TribeVibe),BookMyShow,Mumbai,Immediately,3 Months,"7,500"
Graphic Design,Cimplifie Tech Solutions LLP,Noida,Immediately,3 Months,"8,000"
Academic Content Expert - Chemistry (English),QA Solvers,Noida,Immediately,3 Months,"22,000"
Photography And Videography,Plenaro Events And Entertainment Private Limited,Delhi,Immediately,3 Months,"20,000"
BPO,Stirring Minds,Delhi,Immediately,3 Months,"12,000"
Marketing Management,Adrika Marketing,Danapur,Immediately,3 Months,"6,000"
Business Development (Sales),Imperial Society Of Innovative Engineers (ISIE),Noida,Immediately,3 Months,"10,000"
Customer Service,Tasuvure,Delhi,Immediately,3 Months,"25,000"
Administration,Stirring Minds,Delhi,Immediately,3 Months,"10,000"
Content Creation,Growify Digital,Delhi,Immediately,3 Months,"10,000"
Digital Marketing,Red Art Works (Raw Workspace Solutions Private Limited),Jaipur,Immediately,3 Months,"10,000"
E-Commerce Marketing,Joints Health Private Limited,Delhi,Immediately,3 Months,"6,000"
Market Research,Bilateral Solutions Private Limited,Manali,Immediately,3 Months,"10,000"
Videography,Organic Smokes,Delhi,Immediately,3 Months,"10,000"
Human Resources (HR),Curaa.in,Nagpur,Immediately,3 Months,"5,000"
Social Media Marketing,Dynamic Monks,Delhi,Immediately,3 Months,"7,500"
Content Writing,Ramp Asia,Delhi,Immediately,3 Months,"18,000"
Video Editing,IIDE Education Private Limited,Mumbai,Immediately,3 Months,"10,000"
Academic Content Expert - Statistics (English),QA Solvers,Noida,Immediately,3 Months,"22,000"
Field Sales,Sports For All,Gurgaon,Immediately,3 Months,"15,000"
Visualizing/Design,Peppermint Communications Private Limited,Bhiwandi,Immediately,3 Months,"12,000"
Business Development (Sales),Growify Digital,Delhi,Immediately,3 Months,"12,000"
Business Development (Sales),Flutch Technology Private Limited,Bangalore,Immediately,3 Months,"5,000"
Business Development,Tring,Mumbai,Immediately,3 Months,"11,000"
Business Development (Sales),Six Ladders,Mumbai,Immediately,3 Months,"11,000"
Makeup Academy Coordination And Communication,MARS Cosmetics,Delhi,Immediately,3 Months,"15,000"
Recruitment,Webkorps Services India Pvt. LTD,Indore,Immediately,3 Months,"2,000"
Digital Marketing,MAGNUM Constructions,Bangalore,Immediately,3 Months,"10,000"
Social Media Marketing (Facebook),Stirring Minds,Delhi,Immediately,3 Months,"10,000"
Graphic Design,STEMpedia,Ahmedabad,Immediately,3 Months,"14,000"
Graphic Design,Analytics Vidhya,Gurgaon,Immediately,3 Months,"20,000"
Event Management,Stirring Minds,Delhi,Immediately,3 Months,"10,000"
Growth Associate (Corporate Sales),SuperHuman Race Private Limited,Mumbai,Immediately,3 Months,"9,000"
Field Sales,Candorr International,Mumbai,Immediately,3 Months,"10,000"
International Live Touring,OML Entertainment Private Limited,Mumbai,Immediately,3 Months,"15,000"
Sales,AulaCube Technologies Private Limited,Ahmedabad,Immediately,3 Months,"20,000"
Advertisement Film Production,Deepwoods Online Services Private Limited,Bangalore,Immediately,3 Months,"5,000"
Social Media Marketing,Growify Digital,Delhi,Immediately,3 Months,"10,000"
Coordination,SuperTails,Bangalore,Immediately,3 Months,"15,000"
Climate Leader Stewardship,Energy Alternatives India,Chennai,Immediately,3 Months,"20,000"
Visual Merchandising,SuperTails,Bangalore,Immediately,3 Months,
Campus Ambassador,One Love,Work From Home,Immediately,3 Months,
HR Recruitment,EFOS Edumarketers Private Limited,Noida,Immediately,3 Months,"6,000"
Talent Sourcing,ODN Digital Services Private Limited,Delhi,Immediately,3 Months,"5,000"
Academic Content Expert - Physics (English),QA Solvers,Varanasi,Immediately,3 Months,"15,000"
Campus Ambassador,CodeMasters Studio,Work From Home,Immediately,3 Months,
Human Resources (HR),FabAlley,Noida,Immediately,3 Months,"7,000"
Business Development (Sales),Wealthvidya,Mumbai,Immediately,3 Months,"10,000"
Graphic Design,Girish Jain Proptech Private Limited,Noida,Immediately,3 Months,"8,000"
Customer Service,Concept Mastery,Ghaziabad,Immediately,3 Months,"2,000"
Corporate Sales,PatilKaki,Navi Mumbai,Immediately,3 Months,"8,000"
Digital Marketing,Grassrootz Products,Mumbai,Immediately,3 Months,"5,000"
Digital Marketing,Grassrootz Products,Mumbai,Immediately,3 Months,"5,000"
Product Marketing,Pepper Money,Mumbai,Immediately,3 Months,"15,000"
Human Resources (HR),TheCoinRepublic,Bhopal,Immediately,3 Months,"10,000"
Creative Media,Ostello India Private Limited,Delhi,Immediately,3 Months,"8,000"
Human Resources (HR),TheCoinRepublic,Indore,Immediately,3 Months,
Pharmacy Operations,SuperTails,Bangalore,Immediately,3 Months,"10,000"
Content Creation,Hilt Brands India Private Limited,Bangalore,Immediately,3 Months,"6,000"
Business Development (Sales),DevTown,Work From Home,Immediately,3 Months,"5,000"
Digital Marketing,Be Better Personal Care Private Limited,Bangalore,Immediately,3 Months,"6,999"
Business Development (B2C Channel),Prost Technologies Private Limited (OneAssure),Bangalore,Immediately,3 Months,"15,000"
Sales & Lead Generation,TestAIng Solutions,Bangalore,Immediately,3 Months,"10,000"
Inside Sales,SKILLFORGE E-LEARNING SOLUTIONS PRIVATE LIMITED,Bangalore,Immediately,3 Months,"10,000"
House Keeping,One Root,Bangalore,Immediately,3 Months,"2,500"
Graphic Design,BookMyShow,Mumbai,Immediately,3 Months,"7,500"
Social Media Marketing,Kiaya Accessories,Bangalore,Immediately,3 Months,"8,000"
Customer Service,Bluer,Mumbai,Immediately,3 Months,"15,000"
Business Development (Sales),SKILLFORGE E-LEARNING SOLUTIONS PRIVATE LIMITED,Bangalore,Immediately,3 Months,"10,000"
Academic Content Expert - Physics (English),QA Solvers,Noida,Immediately,3 Months,"22,000"
E-commerce Executive,"CropG1 Agro Research & Development Pvt. Ltd., Bangalore",Bangalore,Immediately,3 Months,"10,000"
Photography,Rentkar-Switch To Share,Mumbai,Immediately,3 Months,"14,000"
Graphic Design,Fabulous Media Private Limited,Gurgaon,Immediately,3 Months,"15,000"
Content Development (English),IDZ Digital Private Limited,Mumbai,Immediately,3 Months,"10,000"
Customer Success (Calling),Pepper Money,Mumbai,Immediately,3 Months,"15,000"
Tele Calling Sales,Skills Beyond Education,Bangalore,Immediately,5 Months,"12,000"
Search Engine Optimization (SEO),IDZ Digital Private Limited,Mumbai,Immediately,5 Months,"8,000"
Telemarketing [In Office],RK Media,Mumbai,Immediately,5 Months,"7,500"
Marketing,LexValueAdd Consulting Pvt. Ltd.,Mumbai,Immediately,5 Months,"10,000"
Hotel Management (Service),One Root,Bangalore,Immediately,5 Months,"2,500"
Marketing,Zedex Info Private Limited,Mumbai,Immediately,5 Months,"10,000"
Content Creation (Shoe Category),The Souled Store,Mumbai,Immediately,5 Months,"10,000"
B2B Sales,OpeninApp,Bangalore,Immediately,5 Months,"25,000"
Customer Service,Momorita,Bangalore,Immediately,5 Months,"12,000"
Marketing,Bempu Health,Bangalore,Immediately,5 Months,"15,000"
Digital Marketing,Creatiwise,Mumbai,Immediately,5 Months,"14,000"
Marketing,Pepper Money,Mumbai,Immediately,5 Months,"15,000"
Enterprise Account Management (Sales),Bilateral Solutions Private Limited,Mandi,Immediately,5 Months,"20,000"
Social Media Marketing,A TO Z Diamonds,Mumbai,Immediately,5 Months,"10,000"
Investment Advisory,Valcreate Investment Managers LLP,Mumbai,Immediately,5 Months,"10,000"
Social Media Marketing,Dangayach School Of Hotel Management,Jaipur,Immediately,5 Months,"10,000"
Customer Service & Social Media Management,Folk Creations,Mumbai,Immediately,5 Months,"3,000"
Digital Marketing,IDZ Digital Private Limited,Mumbai,Immediately,5 Months,"8,000"
Sales Development Representative,Stackwit (OPC) Private Limited,Bangalore,Immediately,5 Months,"12,000"
Academic Counseling,SKILLFORGE E-LEARNING SOLUTIONS PRIVATE LIMITED,Bangalore,Immediately,5 Months,"20,000"
Operations,YourDOST Health Solutions,Bangalore,Immediately,5 Months,"15,000"
Business Development (Sales),KRISHTEC,Erode,Immediately,5 Months,"8,000"
Business Development (Sales),Expertrons,Hyderabad,Immediately,5 Months,"10,000"
Graphic Art,IDZ Digital Private Limited,Thane,Immediately,5 Months,"8,000"
Customer Success,SkilloVilla Technologies Private Limited,Bangalore,Immediately,5 Months,"15,000"
Product Marketing,Eldon Marques,Mumbai,Immediately,5 Months,"5,000"
Social Media Marketing,Ukiyo Stays,Mumbai,Immediately,5 Months,
Field Sales,Qlearncept,Hyderabad,Immediately,5 Months,"15,000"
Academic Content Expert - Economics (English),QA Solvers,Varanasi,Immediately,5 Months,"15,000"
English Teaching,Book Einstein,Mumbai,Immediately,5 Months,"15,000"
Influencer Sales & Outreach,OpeninApp,Bangalore,Immediately,5 Months,"25,000"
Educational Video Creation,SR Edu Technologies,Hyderabad,Immediately,5 Months,"20,000"
Graphic Design,BrandVU,Mumbai,Immediately,5 Months,"10,000"
Operations,TopLine Vision,Kochi,Immediately,5 Months,"9,000"
Marketing (For Exhibitions),Tasuvure,Delhi,Immediately,5 Months,"20,000"
"Design (Fashion/Textile/Sourcing) Internship In Delhi,",Joints Health Private Limited,Delhi,Immediately,5 Months,"6,000"
Graphic Design,The Crimson Cape,Mumbai,Immediately,5 Months,"16,000"
Social Media Marketing,Content-Whale,Mumbai,Immediately,5 Months,"10,000"
Graphic Design,Anomalous,Mumbai,Immediately,5 Months,"15,000"
Sales And Marketing,Global Marketing Services,Bangalore,Immediately,5 Months,"10,000"
Telecalling,Rizzle,Hyderabad,Immediately,3 Months,"10,000"
Event Management,Visual Reality Events & Production,Bangalore,Immediately,3 Months,"10,000"
Social Media Marketing,Lord?? Mark Industries Private Limited,Thane,Immediately,3 Months,"8,000"
Content Writing,Elixir Equities Private Limited,Mumbai,Immediately,3 Months,"17,000"
Marketing And Sales,Parallel Minds,Pune,Immediately,3 Months,"5,000"
Business Development (Sales),10xTechClub,Pune,Immediately,3 Months,"5,000"
Content Writing,Mobavenue Media Private Limited,Mumbai,Immediately,3 Months,"10,000"
Admission Counselling,Digi Grow Hub Education,Pune,Immediately,3 Months,"3,000"
Digital Marketing,Appopoleis Studios,Mumbai,Immediately,3 Months,"15,000"
"Event Operations, Sports Management, Marketing, Sales, PR",Sports For All,Mumbai,Immediately,3 Months,"5,000"
Graphic Design,Momorita,Bangalore,Immediately,3 Months,"12,000"
FRONT OFFICE,One Root,Bangalore,Immediately,3 Months,"2,500"
FRONT OFFICE,One Root,Bangalore,Immediately,3 Months,"2,500"
Social Innovation,Makerble,Work From Home,Immediately,3 Months,"15,000"
Community Development,OpeninApp,Bangalore,Immediately,3 Months,"15,000"
Video Making/Editing,Creafinity LLP,Pune,Immediately,3 Months,"15,000"
Social Media Marketing,The Yellow Spot,Mumbai,Immediately,3 Months,"10,000"
Social Media Management,Qlearncept,Hyderabad,Immediately,3 Months,"18,000"
CXO Digital Expert Connect Related Work,"Digital Value Stream (Dubai, United Arab Emirates)",Work From Home,Immediately,3 Months,"5,000"
Human Resources (HR),Dynamic Monks,Delhi,Immediately,3 Months,"5,000"
Human Resources (HR),BlueCommerce,Delhi,Immediately,3 Months,"6,000"
Business Development (Sales & Marketing),Trucktek Private Limited,Pune,Immediately,3 Months,"12,000"
Graphic Design,Content-Whale,Mumbai,Immediately,3 Months,"10,000"
Client Servicing,DViO Digital Private Limited,Pune,Immediately,3 Months,"7,000"
Product Management,Fusion Data Solutions,Noida,Immediately,3 Months,"10,000"
Content Writing,IDZ Digital Private Limited,Mumbai,Immediately,3 Months,"8,000"
Architecture,Vartika Jangid,Jaipur,Immediately,3 Months,"15,000"
Human Resources (HR),Misemind Technologies,Delhi,Immediately,3 Months,"12,000"
Fashion Photography,Growify Digital,Delhi,Immediately,3 Months,"10,000"
Digital Marketing,Pro India,Work From Home,Immediately,3 Months,"1,000"
Content Development (English),Sports For All,Pune,Immediately,3 Months,"5,000"
Operations,Atelierish Media,Kolkata,Immediately,3 Months,"7,000"
Hotel Management (Food & Beverage Production),One Root,Bangalore,Immediately,3 Months,"2,500"
Copywriting,OML Entertainment Private Limited,Mumbai,Immediately,3 Months,"15,000"
Graphic Design & Management,DBG TECH SOLUTIONS,Mumbai,Immediately,3 Months,"8,000"
Digital Marketing,E2E Recycling Business Private Limited,Bangalore,Immediately,3 Months,"10,000"
Social Media Marketing,SVF Entertainment Private Limited,Kolkata,Immediately,3 Months,"10,000"
Affiliate Sales Strategy,OpeninApp,Bangalore,Immediately,3 Months,"25,000"
Content Marketing,SVF Entertainment Private Limited,Kolkata,Immediately,3 Months,"10,000"
Graphic Design,Uni-Med India,Mumbai,Immediately,3 Months,"9,000"
Customer Service,SVF Entertainment Private Limited,Kolkata,Immediately,3 Months,"10,000"
Video Making/Editing,SVF Entertainment Private Limited,Kolkata,Immediately,2 Months,"10,000"
Video Making/Editing,Arista Vault,Bangalore,Immediately,2 Months,"30,000"
Graphic Design,Trade Brains,Bangalore,Immediately,2 Months,"10,000"
Social Media Marketing (Branded Content),OML Entertainment Private Limited,Mumbai,Immediately,2 Months,"15,000"
Graphic Design,Faclon,Mumbai,Immediately,2 Months,"10,000"
Business Development (Sales),ArthaSarthi Financial Services,Pune,Immediately,2 Months,"10,000"
Architecture,Design Harmony,Bangalore,Immediately,2 Months,"5,000"
Social Media Marketing,Weekend UX,Work From Home,Immediately,2 Months,"5,000"
Sales,Breakout,Bangalore,Immediately,2 Months,"8,000"
Social Media Marketing - Hindi,SVF Entertainment Private Limited,Kolkata,Immediately,2 Months,"7,000"
Graphic Design,NetBramha Studios,Bangalore,Immediately,2 Months,"10,000"
Content Writing,Atelierish Media,Kolkata,Immediately,2 Months,"12,000"
Client Servicing - Advertising & Events,Matrix International,Kolkata,Immediately,2 Months,"8,000"
Graphic Design,Dashtoon,Bangalore,Immediately,2 Months,"15,000"
Graphic Design,Dashtoon,Bangalore,Immediately,2 Months,"15,000"
Business Development (Sales),Exa Mobility India Private Limited,Pune,Immediately,2 Months,"30,000"
AI Art,Dashtoon,Bangalore,Immediately,2 Months,"15,000"
Content Creation,10xTechClub,Pune,Immediately,2 Months,"5,000"
Founder In Residence,OpeninApp,Bangalore,Immediately,2 Months,"15,000"
Graphic Design,SVF Entertainment Private Limited,Kolkata,Immediately,2 Months,"10,000"
Supply Chain & Logistics Operations,Arcatron Mobility Private Limited,Pune,Immediately,2 Months,"12,000"
Management,One Root,Bangalore,Immediately,2 Months,"2,500"
Digital Art Illustration,Dashtoon,Bangalore,Immediately,2 Months,"15,000"
Subject Matter Expert (Chemical Engineering),Paradise Edu Services,Work From Home,Immediately,2 Months,"12,000"
Operations,Exa Mobility India Private Limited,Pune,Immediately,2 Months,"20,000"
Marketing,Idea Usher,Work From Home,Immediately,2 Months,"15,000"
Administration & Operations,Sarvam Foundation,Gurgaon,Immediately,2 Months,"2,000"
Business Development (Sports),Primeshift,Delhi,Immediately,2 Months,"12,000"
Social Media Management,Exa Mobility India Private Limited,Pune,Immediately,2 Months,"12,000"
New Market Acquisition Lead,One Root,Bangalore,Immediately,2 Months,"25,000"
Creative Design,Select Media Holdings LLP,Mumbai,Immediately,2 Months,"10,000"
Comic Book Illustration,Dashtoon,Bangalore,Immediately,2 Months,"15,000"
Graphic Design,Creafinity LLP,Pune,Immediately,2 Months,"12,000"
Human Resources (HR),Ukiyo Stays,Mumbai,Immediately,2 Months,"10,000"
Marketing,PlantByte Foods & Nutrition Pvt Ltd,Bangalore,Immediately,2 Months,"8,000"
Business Development (Sales),Ally Digital Media,Mumbai,Immediately,2 Months,"10,000"
Business Development (Sales),Sunburn Impex,Mumbai,Immediately,2 Months,"10,000"
Placement Operations,DataTrained Education Private Limited,Noida,Immediately,2 Months,"10,000"
Human Resources (HR),Traya Health,Mumbai,Immediately,2 Months,"15,000"
Human Resources (HR),Ekostay,Mumbai,Immediately,2 Months,"10,000"
Event Operations,Sports For All,Pune,Immediately,2 Months,"5,000"
Business Development (Sales),Johan Brown Publishing Private Limited,Hyderabad,Immediately,1 Month,"5,000"
HR,Manastu Space Technologies,Mumbai,Immediately,1 Month,"15,000"
Human Resources (HR),Growify Digital,Delhi,Immediately,1 Month,"12,000"
Social Media Marketing,Ally Digital Media,Mumbai,Immediately,1 Month,"8,000"
Recruitment,Touchcore Systems Private Limited,Pune,Immediately,1 Month,"10,000"
Client Servicing,One Root,Bangalore,Immediately,1 Month,"12,000"
Business Development (Sales),Ostello India Private Limited,Work From Home,Immediately,1 Month,"8,000"
Inside Sales,SmartED,Bangalore,Immediately,1 Month,"18,000"
Founders Office,Punt Partners,Bangalore,Immediately,1 Month,"15,000"
Social Media Marketing,Earth5R,Mumbai,Immediately,1 Month,"8,000"
Operations,Universal Adventures,Work From Home,Immediately,1 Month,"4,000"
Teaching (Pre-school),IDZ Digital Private Limited,Mumbai,Immediately,1 Month,"10,000"
Campus Ambassador,WeMakeScholars,Work From Home,Immediately,1 Month,
Operations,Avaesa,Chennai,Immediately,1 Month,"8,000"
Human Resources (HR),Arcatron Mobility Private Limited,Pune,Immediately,1 Month,"10,000"
Graphic Design And Video Marketing,RoaDo,Bangalore,Immediately,1 Month,"15,000"
Email Marketing,Reports Insights Consulting Private Limited,Pune,Immediately,1 Month,"7,000"
Research And Development,Arcatron Mobility Private Limited,Pimpri-Chinchwad,Immediately,1 Month,"30,000"
Content Development (Metaphysics),Avaesa,Chennai,Immediately,1 Month,"8,000"
Account Management,ODN Digital Services Private Limited,Delhi,Immediately,1 Month,"5,000"
Account Management,ODN Digital Services Private Limited,Delhi,Immediately,1 Month,"5,000"
Supply Chain & Logistics Operations,Inorbvict Healthcare India Private Limited,Pune,Immediately,1 Month,"6,000"
Telecalling,Qriocity Ventures Private Limited,Chennai,Immediately,1 Month,"20,000"
Content Writing,Star Watch Technologies,Chennai,Immediately,1 Month,"8,000"
Fashion Stylist,Ramp Asia,Delhi,Immediately,1 Month,"18,000"
Academic Content Writing,Qriocity Ventures Private Limited,Chennai,Immediately,1 Month,"15,000"
Sales,Qriocity Ventures Private Limited,Chennai,Immediately,1 Month,"20,000"
Digital Marketing,EDirectsys,Chennai,Immediately,1 Month,"8,000"
Customer Support,Qriocity Ventures Private Limited,Chennai,Immediately,1 Month,"15,000"
Event Management,Energy Alternatives India,Chennai,Immediately,1 Month,"15,000"
Content Management,Energy Alternatives India,Chennai,Immediately,1 Month,"20,000"
Social Media Marketing,Social Parindee Digital Marketing Agency Private Limited,Work From Home,Immediately,1 Month,"1,000"
Client Acquisition,OpeninApp,Bangalore,Immediately,1 Month,"25,000"
Digital Marketing,FightClub IAS,Bangalore,Immediately,1 Month,"6,000"
Subject Matter Expert (Chemistry),Paradise Edu Services,Work From Home,Immediately,1 Month,"12,000"
Digital Marketing & Pre-Sales,Greendzine Technologies,Bangalore,Immediately,1 Month,"18,000"
HR Coordination,Expertrons,Mumbai,Immediately,1 Month,"8,000"
Graphic Design,Swipe,Hyderabad,Immediately,1 Month,"25,000"
Accounting and Finance,DAKSM & Co. LLP,Noida,Immediately,1 Month,"10,000"
Sales & Business Development,Energy Alternatives India,Chennai,Immediately,1 Month,"15,000"
Chartered Accountancy (CA),Nopany & Associates,Kolkata,Immediately,1 Month,"5,000"
Mathematics And Statistics,Scan Holdings Private Limited,Delhi,Immediately,2 Months,"6,000"
Social Sciences For Research On SDG/ESG Reporting,Darukaa ESG,Mumbai,Immediately,2 Months,"11,000"
Sports Operation,Sports For All,Pune,Immediately,2 Months,"5,000"
Business Development,Re.Act Waste Tech Pvt. Ltd,Kolkata,Immediately,2 Months,"5,000"
Digital Marketing,CLASSMITRA TECH PRIVATE LIMITED,Pune,Immediately,2 Months,"10,000"
Storyboard Artistry For Webtoons,Dashtoon,Bangalore,Immediately,2 Months,"15,000"
Administration And Operations,Matrix International,Kolkata,Immediately,2 Months,"8,000"
Sketching Art,Dashtoon,Bangalore,Immediately,2 Months,"5,000"
Brand Management,Energy Alternatives India,Chennai,Immediately,2 Months,"15,000"
Marketing,RoaDo,Bangalore,Immediately,2 Months,"15,000"
Event Management,Sunday Bricks Edu Services,Thane,Immediately,2 Months,"10,000"
Event Management,Star Production,Delhi,Immediately,2 Months,"3,000"
Talent Acquisition,SKILLFORGE E-LEARNING SOLUTIONS PRIVATE LIMITED,Bangalore,Immediately,2 Months,"10,000"
Social Media Marketing,Nikita Vakil,Mumbai,Immediately,2 Months,"2,500"
Business Development,Brinnova,Hyderabad,Immediately,2 Months,"20,000"
E-Commerce Sales,Avaesa,Chennai,Immediately,2 Months,"4,000"
Graphic Design,Aero Armour,Kolkata,Immediately,2 Months,"5,000"
Human Resources (HR),Digi Grow Hub Education,Chinchwad,Immediately,2 Months,"3,000"
Executive Assistant,Datastack Technologies Private Limited,Pune,Immediately,2 Months,"10,000"
Executive Assistant,Datastack Technologies Private Limited,Pune,Immediately,2 Months,"10,000"
Customer Success,SuperNova,Bangalore,Immediately,2 Months,"15,000"
Metallurgical Engineering,Manastu Space Technologies,Mumbai,Immediately,2 Months,"15,000"
Human Resources (HR),Branch Karma,Mumbai,Immediately,2 Months,"5,000"
Human Resources (HR),IIDE Education Private Limited,Mumbai,Immediately,2 Months,"5,000"
Marketing,Studio Image Works,Gurgaon,Immediately,2 Months,"8,000"
Organizational Psychology,Future Skills,Hyderabad,Immediately,2 Months,"18,000"
Sales,AulaCube Technologies Private Limited,Pune,Immediately,2 Months,"20,000"
Administration,Avaesa,Chennai,Immediately,2 Months,"4,000"
